source,source_type,relation,sub_relation,target,target_type,source_table
七味沙参汤散,中成药,功能主治,,用于肺热咳嗽,,
七味沙参汤散,中成药,功能主治,,慢性支气管炎,疾病,
七味沙参汤散,中成药,功能主治,,气喘,,
七氟烷,西药,英文名称,,SEVOFRANE（Sevoflurane）,,
七氟烷,西药,不良反应,,哮喘,疾病,
七氟烷,西药,不良反应,,发绀,,
七氟烷,西药,不良反应,,心动过速,,
七氟烷,西药,不良反应,,心动过缓,,
七氟烷,西药,不良反应,,心律不齐,,
七氟烷,西药,不良反应,,支气管哮喘样发作,,
七氟烷,西药,不良反应,,荨麻疹,疾病,
七氟烷,西药,不良反应,,过度呼吸,,
七氟烷,西药,不良反应,,血压下降,,
七氟烷,西药,不良反应,,过度换气,,
七氟烷,西药,不良反应,,过敏症,,
七氟烷,西药,不良反应,,过敏,,
七氟烷,西药,不良反应,,高热,,
万他维,西药,英文名称,,IloprostSolutionforInhalation,,
万他维,西药,不良反应,,咳嗽,,
万他维,西药,通用名,,吸入用伊洛前列素溶液,西药,
万他维,西药,不良反应,,咳嗽加重,,
万仪,西药,不良反应,,嗜酸性细胞增多症,,
万仪,西药,不良反应,,嗜酸性细胞增多,,
万仪,西药,不良反应,,白细胞减少,,
万仪,西药,不良反应,,白细胞减少症,,
万仪,西药,不良反应,,血管神经性水肿,,
万佶,西药,适应症,,呼吸道感染,,
万佶,西药,分类,,大环内酯类,,
万佶,西药,成份,,乙酰吉他霉素,,
万佶,西药,适应症,,肺炎,疾病,
万信,西药,不良反应,,过敏性休克,疾病,
万信,西药,不良反应,,过敏性皮疹,,
万可松,西药,不良反应,,支气管痉挛,,
万可松,西药,英文名称,,Vecuronium Bromide for Injection,,
万可松,西药,不良反应,,心动过速,,
万可松,西药,通用名,,注射用维库溴铵,西药,
万可松,西药,不良反应,,无力,,
万可松,西药,不良反应,,休克,疾病,
万可松,西药,不良反应,,缺氧,,
万可松,西药,不良反应,,荨麻疹,疾病,
万可松,西药,不良反应,,类过敏反应,,
万可松,西药,不良反应,,过敏,,
万可松,西药,不良反应,,肌无力,,
万可松,西药,不良反应,,麻痹,,
万可松,西药,不良反应,,血管神经性水肿,,
万可松,西药,不良反应,,过敏反应,,
万复洛,西药,不良反应,,乏力,,
万复洛,西药,不良反应,,咳嗽,,
万复洛,西药,不良反应,,体重减轻,,
万复洛,西药,不良反应,,发热,,
万复洛,西药,不良反应,,厌食,,
万复洛,西药,不良反应,,呕吐,,
万复洛,西药,不良反应,,头昏,,
万复洛,西药,不良反应,,味觉改变,,
万复洛,西药,不良反应,,头痛,,
